filename,combined_score,text_similarity,skill_score,experience_score,education_score,experience_years,skills_found
72231872.pdf,0.5614612693431973,0.09115317335799322,0.8333333333333334,1.0,0.75,9,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
29897742.pdf,0.5613678546915861,0.09091963672896505,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
15791766.pdf,0.561285159749104,0.09071289937275977,0.8333333333333334,1.0,0.75,9,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
28614791.pdf,0.561272482777405,0.09068120694351253,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['analytical']}"
60489316.pdf,0.5611105901879447,0.09027647546986184,0.8333333333333334,1.0,0.75,11,"{'programming': ['go', 'rust', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['leadership', 'analytical']}"
20253563.pdf,0.5610142693430055,0.09003567335751363,0.8333333333333334,1.0,0.75,15,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'creative']}"
77576845.pdf,0.5609024806840911,0.08975620171022776,0.8333333333333334,1.0,0.75,22,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
13215696.pdf,0.5602902309760109,0.08822557744002711,0.8333333333333334,1.0,0.75,13,"{'programming': ['go', 'scala'], 'web_development': ['express'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'creative']}"
37521676.pdf,0.5599390153723827,0.08734753843095663,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': ['oracle'], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
24953126.pdf,0.5597070865487062,0.08676771637176543,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': ['express'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
17876954.pdf,0.5597017930080028,0.08675448252000706,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'creative']}"
12587973.pdf,0.55951555137864,0.08628887844659984,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
22720697.pdf,0.5592328683571396,0.0855821708928489,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'creative']}"
29926588.pdf,0.5590869057412804,0.08521726435320087,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
25780596.pdf,0.55837237452963,0.08343093632407479,0.8333333333333334,1.0,0.75,15,"{'programming': ['go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
23818675.pdf,0.5572131428986369,0.08053285724659198,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
12695799.pdf,0.557158374222992,0.08039593555748001,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': ['express'], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication', 'teamwork']}"
14640322.pdf,0.5568686096384334,0.07967152409608363,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
10189110.pdf,0.5564478267740569,0.07861956693514213,0.8333333333333334,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
37087824.pdf,0.5563294841005673,0.07832371025141796,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
11266906.pdf,0.5559965096405046,0.07749127410126158,0.8333333333333334,1.0,0.75,20,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
21363048.pdf,0.5551792232805159,0.07544805820128994,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
33381211.pdf,0.554651696803227,0.07412924200806754,0.8333333333333334,1.0,0.75,20,"{'programming': ['c#', 'go'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
20879311.pdf,0.5546469563743577,0.07411739093589433,0.8333333333333334,1.0,0.75,15,"{'programming': ['go', 'scala'], 'web_development': ['node'], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
17189156.pdf,0.5546469004811458,0.07411725120286465,1.0,0.75,0.75,6,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
38007664.pdf,0.5546403039627998,0.0741007599069995,0.8333333333333334,1.0,0.75,32,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'analytical']}"
11752500.pdf,0.5544639599150898,0.07365989978772425,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
37201447.pdf,0.5544001154936491,0.07350028873412286,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
14593060.pdf,0.5543276819013014,0.07331920475325365,0.8333333333333334,1.0,0.75,15,"{'programming': ['go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['communication']}"
14900898.pdf,0.5538252835970743,0.07206320899268548,0.8333333333333334,1.0,0.75,26,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
24240349.pdf,0.5534460824412046,0.07111520610301171,0.8333333333333334,1.0,0.75,16,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
20210676.pdf,0.5532209442342302,0.07055236058557547,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
20736486.pdf,0.5531363447994287,0.07034086199857184,0.8333333333333334,1.0,0.75,21,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
32637306.pdf,0.5530333672677598,0.0700834181693994,0.8333333333333334,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
14062078.pdf,0.5530252621493121,0.07006315537328027,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['communication', 'creative']}"
15858254.pdf,0.5528997909780273,0.06974947744506811,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
36727173.pdf,0.5528535555955864,0.06963388898896586,0.8333333333333334,1.0,0.75,11,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
93828034.pdf,0.5527801718621027,0.06945042965525676,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
11797122.pdf,0.5527578248583019,0.06939456214575486,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
23522150.pdf,0.5525038405339322,0.06875960133483038,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
20255404.pdf,0.5524659783617543,0.06866494590438578,0.8333333333333334,1.0,0.75,12,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['analytical', 'creative']}"
12082377.pdf,0.5522774384369723,0.06819359609243072,0.8333333333333334,1.0,0.75,13,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
99124477.pdf,0.5517478603671742,0.12936965091793542,0.8333333333333334,0.875,0.75,7,"{'programming': ['java', 'javascript', 'go'], 'web_development': ['html'], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['analytical']}"
